Size (bytes);#Iterations;Total time (sec);Time per message (Max);Bandwitch (MB/s)
4;100000;0,255314;0.000085;0,000136551
40;100000;0,279247;0.000139;0,000136551
80;100000;0,212481;0.000135;0,000358917
100;100000;0,249118;0.000093;0,000382666
200;100000;0,251678;0.000104;0,000757546
300;100000;0,220378;0.000078;0,00129771
400;100000;0,237972;0.000137;0,001602355
600;100000;0,244667;0.000141;0,002337762
800;100000;0,198746;0.000070;0,003837215
1000;100000;0,313244;0.000632;0,003043279
1500;100000;0,304744;0.000119;0,004692244
2000;100000;0,403246;0.000058;0,004728076
3000;100000;0,313624;0.000127;0,009118775
4000;100000;0,399991;0.000098;0,009533103
5000;100000;0,536638;0.000187;0,008882048
7500;100000;0,643895;0.000177;0,011103777
10000;100000;0,816518;0.000259;0,01167505
20000;100000;1,088566;0.000156;0,017514581
30000;100000;1,316748;0.000133;0,021719164
40000;100000;1,895592;0.000188;0,020115908
50000;100000;1,936956;0.000213;0,024607912
100000;100000;4,165716;0.000249;0,022884154
200000;100000;8,501543;0.000535;0,022426255
300000;100000;13,578680;0.000549;0,021061447
400000;100000;17,339239;0.000655;0,021991481
500000;100000;23,240860;0.000690;0,020508898
600000;100000;32,987792;0.000774;0,017338939
700000;100000;33,721411;0.003104;0,019788679
800000;100000;38,811662;0.001182;0,019649534
900000;100000;43,637800;0.001200;0,019660935
1000000;100000;46,759057;0.001410;0,020387256
1100000;100000;57,279323;0.005260;0,01830709
1000;1000;0,004384;0.000084;0,217447273
10000;1000;0,012208;0.000102;0,780872253
20000;1000;0,018888;0.000150;1,009412163
40000;1000;0,029435;0.000220;1,295449426
80000;1000;0,030735;0.000215;2,48131146
160000;1000;0,098991;0.000366;1,540808916
320000;1000;0,14823;0.000573;2,057966882
400000;1000;0,167369;0.000537;2,278292507
;1000;;;
;1000;;;
;1000;;;
;1000;;;
;1000;;;
;1000;;;
;1000;;;
;1000;;;
;1000;;;
